meeting_key,session_key,driver_number,lap_number,date_start,lap_duration,duration_sector_1,duration_sector_2,duration_sector_3,st_speed,i1_speed,i2_speed,is_pit_out_lap
1279,11234,44,3,2026-03-08T04:07:51.599000+00:00,85.066,30.332,18.021,36.713,286,243,298,False
1279,11234,44,4,2026-03-08T04:09:16.686000+00:00,84.502,29.967,18.029,36.506,285,253,296,False
1279,11234,44,5,2026-03-08T04:10:41.116000+00:00,84.703,29.97,18.016,36.717,290,251,295,False
1279,11234,44,6,2026-03-08T04:12:05.789000+00:00,84.365,29.888,18.034,36.443,291,255,296,False
1279,11234,44,7,2026-03-08T04:13:30.212000+00:00,84.408,29.787,18.093,36.528,304,249,292,False
1279,11234,44,8,2026-03-08T04:14:54.543000+00:00,85.844,30.984,18.266,36.594,302,228,299,False
1279,11234,44,9,2026-03-08T04:16:20.495000+00:00,84.255,29.827,17.875,36.553,298,249,305,False
1279,11234,44,10,2026-03-08T04:17:44.748000+00:00,84.073,29.686,17.816,36.571,292,248,302,False
1279,11234,44,11,2026-03-08T04:19:08.920000+00:00,114.958,40.845,28.326,45.787,219,219,138,False
1279,11234,44,12,2026-03-08T04:21:03.669000+00:00,116.315,41.178,27.777,47.36,216,196,144,False
1279,11234,44,13,2026-03-08T04:23:00.001000+00:00,88.327,33.824,17.902,36.601,232,254,293,False
1279,11234,44,14,2026-03-08T04:24:28.345000+00:00,83.703,29.547,17.763,36.393,289,258,294,False
1279,11234,44,15,2026-03-08T04:25:52.122000+00:00,83.412,29.291,17.817,36.304,296,259,295,False
1279,11234,44,16,2026-03-08T04:27:15.479000+00:00,84.045,29.729,17.883,36.433,299,256,296,False
1279,11234,44,17,2026-03-08T04:28:39.587000+00:00,91.597,29.625,17.793,44.179,296,255,298,False
1279,11234,44,18,2026-03-08T04:30:11.180000+00:00,113.1,37.081,24.573,51.446,223,221,170,False
1279,11234,44,19,2026-03-08T04:32:04.196000+00:00,91.637,37.133,18.014,36.49,247,235,297,False
1279,11234,44,20,2026-03-08T04:33:35.918000+00:00,83.617,29.381,17.818,36.418,296,256,297,False
1279,11234,44,21,2026-03-08T04:34:59.564000+00:00,83.509,29.258,17.832,36.419,,259,298,False
1279,11234,44,22,2026-03-08T04:36:23.020000+00:00,83.382,29.306,17.766,36.31,304,260,298,False
1279,11234,44,23,2026-03-08T04:37:46.432000+00:00,84.329,29.999,17.913,36.417,305,255,295,False
1279,11234,44,24,2026-03-08T04:39:10.770000+00:00,83.66,29.419,17.845,36.396,303,257,296,False
1279,11234,44,25,2026-03-08T04:40:34.278000+00:00,84.085,29.611,17.867,36.607,300,255,294,False
1279,11234,44,26,2026-03-08T04:41:58.560000+00:00,83.76,29.455,17.86,36.445,,258,294,False
1279,11234,44,27,2026-03-08T04:43:22.167000+00:00,99.578,29.438,17.924,52.216,,253,296,False
1279,11234,44,29,2026-03-08T04:46:31.014000+00:00,83.474,29.431,17.923,36.12,285,251,289,False
1279,11234,44,30,2026-03-08T04:47:54.444000+00:00,83.129,29.336,17.854,35.939,287,244,293,False
1279,11234,44,31,2026-03-08T04:49:17.545000+00:00,83.185,29.328,17.835,36.022,302,,293,False
1279,11234,44,32,2026-03-08T04:50:40.697000+00:00,83.775,29.415,17.921,36.439,,250,299,False
1279,11234,44,33,2026-03-08T04:52:04.554000+00:00,98.315,36.057,24.217,38.041,275,203,241,False
1279,11234,44,34,2026-03-08T04:53:42.792000+00:00,83.317,29.381,17.698,36.238,312,251,301,False
1279,11234,44,35,2026-03-08T04:55:06.091000+00:00,83.338,29.42,17.712,36.206,305,246,298,False
1279,11234,44,36,2026-03-08T04:56:29.494000+00:00,83.086,29.353,17.661,36.072,304,250,298,False
1279,11234,44,37,2026-03-08T04:57:52.569000+00:00,82.688,29.069,17.752,35.867,305,245,293,False
1279,11234,44,38,2026-03-08T04:59:15.238000+00:00,82.536,28.919,17.689,35.928,307,252,294,False
